Changed;Fighter;String;String_di;
;Vacuum;Honestly, everyone knows you shouldn't|use a vacuum to clean up dice.||A dust pan and brush, that's where it's at.;En serio, todo el mundo sabe que no|se debe usar una aspiradora para limpiar dados.|Recogedor y cepillo, eso es lo suyo.;
;RoboBot;Pew! Pew-pew-pew pew!||I'll get you next time, you big dice!|BZZZT! Pew-pew-pew-pew!;¡Piuw! ¡Piuw, piuw, piuw!||¡Para la próxima te gano, cabezadado!|¡BZZZ! ¡Piuw-piuw-piuw!;
* previously;Rat King;Ah, mayhap I have lost, yet am I not still a king?||And in truth, thou hast won, yet art|thou not still a weird ugly dice?;Ah, tal vez he perdido... ¿Mas no sigo siendo el rey?||Y en verdad, pese a tu victoria, ¿no sigues|siendo un dado de horrible faz?;
* previously;Skeleton;I guess now that you've won we'll never find out|what a dice's skeleton looks like.;Supongo que como has ganado, nunca descubriremos|qué pinta tiene un esqueleto de dado.;
* previously;Madison;You lose! That means you have to buy ALL my|cookies. It's the law.;¡Has perdido! Así que tienes que comprarme|TODAS las galletas. Lo dice la ley.;
* previously;Aoife;Hey. It's over, dice kid.;Eh. Se acabó, dado con patas.;
;Rose;The poets don't write about... dice, you know.||Would *you* smell as sweet by any|other name? I rather think not.;Los poetas no escriben sobre... dados, claro.||Con otro nombre... ¿olerías tan dulce?|Me parece a mí que no.;
* previously;Rose;Well, as the poet said, 'they are not long, the days of wine and roses'.|I don't believe he mentioned dice.;Bueno, ya lo dijo el poeta: No duran mucho tiempo, los días de vino y rosas.|De los dados creo que no dice nada.;
* previously;Rose;'O rose, thou art sick!', the poet said. He blamed an invisible|worm, but it turns out the problem was dice.;Estás enferma, ¡oh, rosa!, dijo el poeta. Le echó la culpa|a un gusano invisible, pero resulta que ha sido cosa del dado.;
* previously;Rose;Well, gather ye roses while ye may, as the poet says.||You instead chose to gather your dice, and I can't say it|turned out to be an *entirely* terrible idea.;Bueno, coged las rosas mientras podáis, como dijo el poeta.||En su lugar has cogido los dados y no diría que|ha sido una idea TOTALMENTE horrible.;
* previously;Rotten Apple;Hey, hey, why is a dice like an apple?||THEY BOTH HAVE PIPS DO YOU SEE;Eh, eh, ¿en qué se parece un dado a una manzana?||EN QUE LOS DOS TIENEN CORAZÓN, ¿SABES?;
* previously;Rotten Apple;Hey, why is a dice like an apple?||Because they both yearn to one day escape the Dicey Dungeons!;Eh, ¿en qué se parece un dado a una manzana?||¡En que los dos ansían escapar algún día de Dicey Dungeons!;
* previously;Rotten Apple;Hey, why is a dice like an apple?||We both contain zero cholesterol.||Not everything is a joke, you know. Sometimes|it's good to learn a fact!;Eh, ¿en qué se parece un dado a una manzana?||En que los dos tenemos cero colesterol.||No todo son chistes, ¿vale? ¡A veces|viene bien aprender algo nuevo!;
* previously;Rotten Apple;Hey, hey, why is a dice like an apple?||Because they're both vicious fighters that did equally well in|that fight just then, I think absoutely let's call that a draw.;Eh, ¿en qué se parece un dado a una manzana?||En que los dos son feroces guerreros que lo hacen|igual de bien en la pelea y creo que podemos darlo por empate.;
* previously;Jester (Round 2 begin);Oh, you're back!||Wait, that was another giant dice.||Well, you're all equally doomed so there's no|point getting to know your names.;¡Anda, has vuelto!||Espera, eso fue otro dado gigante.||Bueno, estáis todos igual de condenados, así que|tiene sentido que me aprenda vuestros nombres.;
