Changed?;Introduction;Introduction_di;
* previously added emotion tag;Welcome back to Dicey Dungeons, the game show|where you're a giant dice, for some reason.||{angry}And the reason is: because I said so!;Bienvenidos otra vez a Dicey Dungeons, el concurso|en el que eres un dado gigante, por alguna extraña razón.||{angry}Y la razón es... ¡porque lo digo yo!;
;Let's take a moment to say thank you to our|generous sponsor, endless misery!;Lo primero es darle las gracias a nuestro|generoso patrocinador, ¡la desgracia eterna!;
;Welcome back to Dicey Dungeons, where you risk it|all to win your heart's desire!;¡Bienvenidos otra vez a Dicey Dungeons, donde se|arriesga todo para lograr los anhelos del corazón!;
* previously added emotion tag;Time for another round of Dicey Dungeons, where|the fun never stops.||{sly}Just like our contestants, who are|trapped here for ever!;Ya es hora de otra ronda de Dicey Dungeons, donde|la diversión nunca para.||{sly}¡Igual que nuestros participantes, que están|atrapados aquí para siempre!;
* previously added emotion tag;Time for another episode of Dicey Dungeons!||{sly}It's the only game show where contestants|can win, or lose, literally anything!;¡Tenemos un nuevo episodio de Dicey Dungeons!||{sly}¡El único concurso en el que los participantes|no pueden ganar ni perder nada... literalmente!;
* previously added emotion tag;Welcome back to the longest-running game show|on Earth, predating humanity by...||{thinking}...I mean, I don't know how long, we didn't have|calendars back then.||{normal}A while! ;Bienvenidos nuevamente al concurso más longevo|de la Tierra que acecha a la humanidad con...||{thinking}... Como decía, no sé cuánto llevamos, antes|no teníamos calendarios.||{normal}¡Un buen tiempo! ;
* previously added emotion tag;Welcome back to Dicey Dungeons!||{sly}Let the good times roll!;¡Bienvenidos una vez más a Dicey Dungeons!||{sly}¡Es hora de echar a rodar la diversión!;
;Time to get moving - a rolling dice gathers no moss!;A mover las aristas... ¡Con movimiento, vivirás más tiempo!;
;It's time to rock and roll!||{thinking}Mostly roll, to be honest, unless our contestant|meets the Bully.;¡Hora de rocanrolear!||La verdad es que se rolea bastante en el concurso...|y el abusón lleva unas buenas rocas.;
* previously added emotion tag;Let's welcome our latest contestant back to|Dicey Dungeons!||{thinking}Tell me, do you remember sunlight?||{sly}Then you're not trying hard enough!  ;¡Démosle otra calurosa bienvenida al|último participante de Dicey Dungeons!||{thinking}Dime, ¿recuerdas la luz del sol?||{sly}¡Eso es que no te estás esforzando!  ;
* previously added emotion tag;Welcome to Dicey Dungeons, where our contestants|will either win their heart's desire...||{sly}...or end up trapped for ever as my minions!||{normal}Which realistically speaking is much more likely.;Bienvenidos a Dicey Dungeons, donde nuestros|participantes conseguirán los anhelos de su corazón...||{sly}... ¡o quedarán atrapados para siempre como mis esbirros!||{normal}Y si somos realistas, es lo más probable.;
* previously added emotion tag;Let's welcome back our latest contestant for|another round!||{sly}Once bitten, dice shy! ;¡Demos la bienvenida a nuestro último participante|para otra ronda!||{sly}¡Doble tirada, doble sufrimiento! ;
* previously added emotion tag;Welcome back to Dicey Dungeons, where our|contestants' wildest dreams just might come true!||{thinking}Have you paid attention to dreams lately,|by the way?||{normal}I don't dream myself, but I'm told they're terrible.;Bienvenidos de nuevo a Dicey Dungeons, ¡donde los|sueños de los participantes podrían cumplirse!||{thinking}Por cierto, ¿os habéis fijado en vuestros|sueños últimamente?||{normal}Yo no sueño, pero me han dicho que son un timo.;
;Hey there, welcome back to Dicey Dungeons,|where victory is theoretically possible!;Saludos y bienvenidos una vez más a Dicey Dungeons,|¡donde se supone que la victoria es posible!;
;It's time for another episode of Dicey Dungeons,|where contestants risk it all in a doomed attempt|to fulfil their pitiful desires!;¡Toca otro episodio de Dicey Dungeons,|donde los participantes lo arriesgan todo en un vano intento|de cumplir sus patéticos deseos!;
