Changed?,String,String_di,Location,Notes,
,Start,Comenzar,Intro Message,Button (start the game),
,Created by Terry Cavanagh[;] Marlowe Dobbe[;] Chipzel and Justo Delgado,Creado por Terry Cavanagh[;] Marlowe Dobbe[;] Chipzel y Justo Delgado,Title Screen,The game credits,
,Modding support by Lars Doucet[;] PR by Dana Trebella[;] Writing by Holly Gramazio,Compatibilidad de mods de Lars Doucet[;] RR. PP. de Dana Trebella[;] textos originales de Holly Gramazio,Title Screen,Credits,
,_language_ translation by _translator_,Traducción al español de Felipe Mercader Martínez,Title Screen,To add your own credits for translation (e.g. Klingon translation by Worf),
,Play,Jugar,Title Screen,Button (play button on main menu),
,Editor,Editor,Title Screen,Button (open the editor),
,Volume:,Volumen:,Title Screen,Shown in front of volume slide,
,Select,Elegir,Character Selection,Button (select a character),
,Choose your character,Elige a tu personaje,Character Selection,Choose one character from the available list,
,Hard mode,Modo difícil,Character Selection,A toggle button to enable or disable hard mode,
,(Good luck! In this mode[;] all enemies get 20% more health[;] and upgraded equipment.),(¡Buena suerte! En este modo[;] todos los enemigos tienen un 20 % más de salud y equipo mejorado.),Character Selection,Appears if you enable hard mode,
,Coming soon!,¡Próximamente!,Character Selection,New class description,
,Final Floor,Última planta,Map Screen,Shown when you are on the last floor,
,Floor,Planta,Map Screen,Shown in the context of Floor 1 or Floor 2,
,Level,Nivel,Map Screen,Shown in the context of Level 1 or Level 2,
,Lvl,Nv.,Map Screen,Short version of Level for some situations - at the start of a sentence,
,lvl,nv.,Map Screen,Short version of Level for some situations,
,At max level,Nivel máx.,Map Screen,Shown in the character stats when you are at max level,
,Equipment,Equipo,Map Screen,Button (open your equipment menu),
,Back,Atrás,Map Screen,Button (go back to the last screen),
,BOSS,JEFE,Map Screen,Shown if you mouse over a boss enemy,
,Level up in [star][],Sube nivel con [star][],Map Screen,Shows how many stars till next level. Number of stars needed is displayed to the right of this string e.g. Level up in [star][] 6,
,EQUIPPED,EQUIPADO,Inventory Screen,Shows the items you have equipped,
,IN BACKPACK,EN LA MOCHILA,Inventory Screen,Shows the items that are in your backpack,
,TURN,TURNO,Combat,Shown in the top left of combat - turn counter e.g. TURN 4,
,FLEE IN,HUYE EN,Combat,Shown in the top left of combat -e.g. FLEE IN 5 TURNS or FLEE IN 1 TURN,
,TURNS,TURNOS,Combat,Shown in the top left of combat -e.g. FLEE IN 5 TURNS,
,EVEN,PAR,Combat,Dice placed here must be EVEN (2-4-6),
,ODD,IMPAR,Combat,Dice placed here must be ODD (1-3-5),
,MAX,máx.,Combat,Dice placed here must not be more than this value (e.g. max 5),
,MIN,mín.,Combat,Dice placed here must not be less than this value (e.g. min 3),
,max,máx.,Combat,Dice placed here must not be more than this value (e.g. max 5),
,min,mín.,Combat,Dice placed here must not be less than this value (e.g. min 3),
,NEEDS DOUBLES,REQUIERE DOBLES,Combat,Need to place two matching dice in these slots,
